case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,steps_comments,comment,stacktrace,priority,severity,automation,type,tags,is_muted,case_parameter
38,"Calculate Long-Term Surface Parking (North Lot) rate for less than 1 hour",,,"Abdul Wassae S.M.",7950,Passed,"2024-10-25 18:34:34","1. Go to Long-Term Surface Parking (North Lot) page
2. Enter Entry Date
3. Enter Entry Time
4. Enter Leaving Date
5. Enter Leaving Time
6. Click Calculate Cost Button
","1. URL
2. Current Date
3. 12:00 AM
4. Current Date
5. 12:59 AM
6. N/A
","1. UI Display
2. System Allow Input
3. System Allow Input
4. System Allow Input
5. System Allow Input
6. System Display cost $2.00
","1. Untested
2. Untested
3. Untested
4. Untested
5. Untested
6. Untested
","1. 
2. 
3. 
4. 
5. 
6. ",,,High,Normal,Manual,Functional,,false,
38,"Calculate Long-Term Surface Parking (North Lot) rate for less than 1 hour",,,"Abdul Wassae S.M.",0,Retest,"2024-10-25 18:35:31","1. Go to Long-Term Surface Parking (North Lot) page
2. Enter Entry Date
3. Enter Entry Time
4. Enter Leaving Date
5. Enter Leaving Time
6. Click Calculate Cost Button
","1. URL
2. Current Date
3. 12:00 AM
4. Current Date
5. 12:59 AM
6. N/A
","1. UI Display
2. System Allow Input
3. System Allow Input
4. System Allow Input
5. System Allow Input
6. System Display cost $2.00
",,,,,High,Normal,Manual,Functional,,false,
38,"Calculate Long-Term Surface Parking (North Lot) rate for less than 1 hour",,,"Abdul Wassae S.M.",12276,Passed,"2024-10-25 18:35:44","1. Go to Long-Term Surface Parking (North Lot) page
2. Enter Entry Date
3. Enter Entry Time
4. Enter Leaving Date
5. Enter Leaving Time
6. Click Calculate Cost Button
","1. URL
2. Current Date
3. 12:00 AM
4. Current Date
5. 12:59 AM
6. N/A
","1. UI Display
2. System Allow Input
3. System Allow Input
4. System Allow Input
5. System Allow Input
6. System Display cost $2.00
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
","1. 
2. 
3. 
4. 
5. 
6. ",,,High,Normal,Manual,Functional,,false,
50,"Calculate Economy Lot Parking rate for less than 1 hour",,,"Abdul Wassae S.M.",17951,Passed,"2024-10-25 18:40:18","1. Go to Economy Lot Parking page
2. Enter Entry Date
3. Enter Entry Time
4. Enter Leaving Date
5. Enter Leaving Time
6. Click Calculate Cost Button
","1. URL
2. Current Date
3. 12:00 AM
4. Current Date
5. 12:59 AM
6. N/A
","1. UI Display
2. System Allow Input
3. System Allow Input
4. System Allow Input
5. System Allow Input
6. System Display cost $2.00
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
","1. 
2. 
3. 
4. 
5. 
6. ",,,High,Normal,Manual,Functional,,false,
13,"Calculate Short-Term (Hourly) Parking rate for less than 1 hour",,,"Abdul Wassae S.M.",15577,Passed,"2024-10-25 18:22:23","1. Go to Short-Term (Hourly) Parking page
2. Enter Entry Date
3. Enter Entry Time
4. Enter Leaving Date
5. Enter Leaving Time
6. Click Calculate Cost Button
","1. URL
2. Current Date
3. 12:00 AM
4. Current Date
5. 12:59 AM
6. N/A
","1. UI Display
2. System Allow Input
3. System Allow Input
4. System Allow Input
5. System Allow Input
6. System Display cost $2.00
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
","1. 
2. 
3. 
4. 
5. 
6. ",,,High,Normal,Manual,Functional,,false,
27,"Calculate Long-Term Garage Parking rate for 1 hour",,,"Abdul Wassae S.M.",11742,Passed,"2024-10-25 18:26:56","1. Go to Long-Term Garage Parking page
2. Enter Entry Date
3. Enter Entry Time
4. Enter Leaving Date
5. Enter Leaving Time
6. Click Calculate Cost Button
","1. URL
2. Current Date
3. 12:00 AM
4. Current Date
5. 01:00 AM
6. N/A
","1. UI Display
2. System Allow Input
3. System Allow Input
4. System Allow Input
5. System Allow Input
6. System Display cost $2.00
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
","1. 
2. 
3. 
4. 
5. 
6. ",,,High,Normal,Manual,Functional,,false,
1,"Calculate Valet Parking rate for 4 hours","Valet Parking",1,"Abdul Wassae S.M.",12662,Passed,"2024-10-25 18:20:59","1. Go to Valet Parking page
2. Enter Entry Date
3. Enter Entry Time
4. Enter Leaving Date
5. Enter Leaving Time
6. Click Calculate Cost Button
","1. URL
2. Current Date
3. 12:00 AM
4. Current Date
5. 4:00 AM
6. N/A
","1. UI Display
2. System Allow Input
3. System Allow Input
4. System Allow Input
5. System Allow Input
6. System Display cost $12.00
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
","1. 
2. 
3. 
4. 
5. 
6. ",,,High,Normal,Manual,Functional,,false,
2,"Calculate Valet Parking rate for 5 hours","Valet Parking",1,"Abdul Wassae S.M.",10369,Passed,"2024-10-25 18:21:11","1. Go to Valet Parking page
2. Enter Entry Date
3. Enter Entry Time
4. Enter Leaving Date
5. Enter Leaving Time
6. Click Calculate Cost Button
","1. URL
2. Current Date
3. 12:00 AM
4. Current Date
5. 5:00 AM
6. N/A
","1. UI Display
2. System Allow Input
3. System Allow Input
4. System Allow Input
5. System Allow Input
6. System Display cost $12.00
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
","1. 
2. 
3. 
4. 
5. 
6. ",,,High,Normal,Manual,Functional,,false,
3,"Calculate Valet Parking rate for 6 hours","Valet Parking",1,"Abdul Wassae S.M.",11190,Passed,"2024-10-25 18:21:23","1. Go to Valet Parking page
2. Enter Entry Date
3. Enter Entry Time
4. Enter Leaving Date
5. Enter Leaving Time
6. Click Calculate Cost Button
","1. URL
2. Current Date
3. 12:00 AM
4. Current Date
5. 6:00 AM
6. N/A
","1. UI Display
2. System Allow Input
3. System Allow Input
4. System Allow Input
5. System Allow Input
6. System Display cost $18.00
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
","1. 
2. 
3. 
4. 
5. 
6. ",,,High,Normal,Manual,Functional,,false,
4,"Calculate Valet Parking rate for 23 hours","Valet Parking",1,"Abdul Wassae S.M.",10769,Passed,"2024-10-25 18:21:36","1. Go to Valet Parking page
2. Enter Entry Date
3. Enter Entry Time
4. Enter Leaving Date
5. Enter Leaving Time
6. Click Calculate Cost Button
","1. URL
2. Current Date
3. 12:00 AM
4. Current Date
5. 11:00 PM
6. N/A
","1. UI Display
2. System Allow Input
3. System Allow Input
4. System Allow Input
5. System Allow Input
6. System Display cost $18.00
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
","1. 
2. 
3. 
4. 
5. 
6. ",,,High,Normal,Manual,Functional,,false,
5,"Calculate Valet Parking rate for 24 hours","Valet Parking",1,"Abdul Wassae S.M.",10769,Passed,"2024-10-25 18:21:49","1. Go to Valet Parking page
2. Enter Entry Date
3. Enter Entry Time
4. Enter Leaving Date
5. Enter Leaving Time
6. Click Calculate Cost Button
","1. URL
2. Current Date
3. 12:00 AM
4. Current Date + 1
5. 12:00 AM
6. N/A
","1. UI Display
2. System Allow Input
3. System Allow Input
4. System Allow Input
5. System Allow Input
6. System Display cost $18.00
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
","1. 
2. 
3. 
4. 
5. 
6. ",,,High,Normal,Manual,Functional,,false,
6,"Calculate Valet Parking rate for 25 hours","Valet Parking",1,"Abdul Wassae S.M.",12026,Passed,"2024-10-25 18:22:05","1. Go to Valet Parking page
2. Enter Entry Date
3. Enter Entry Time
4. Enter Leaving Date
5. Enter Leaving Time
6. Click Calculate Cost Button
","1. URL
2. Current Date
3. 12:00 AM
4. Current Date + 1
5. 1:00 AM
6. N/A
","1. UI Display
2. System Allow Input
3. System Allow Input
4. System Allow Input
5. System Allow Input
6. System Display cost $36.00
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
","1. 
2. 
3. 
4. 
5. 
6. ",,,High,Normal,Manual,Functional,,false,
